business_id,text,labels
LKybcaAPLN5pBcRgRTGKMw,tried their food at the taste the difference festival last weekend and had to find their restaurant we were not disappointed the owner brought us samples and let us try 4 dishes before we ordered our meal looking forward to coming back often,positive
B9MAfqhVw1AxNzwu2ELPtQ,first time trying this spot and it's a hidden treasure my sister and i came in for a wknd breakfast we got the somali chai iced caramel macchiato sambusas beef chicken vegetable and a nafaqo loved every bit of it in particular the sambusas were delicious we'll be back for sure and will be spreading the word,positive
YDisPepPeWeELiVGycxOlw,i come here mainly for the dancing and to get tusker beer  it's a good place to meet up with friends and dance after going to noche or other clubs in center city where they play that whack ass pop music of today  always guaranteed a great time for me and my boyfriend,positive
nL7p1fol3N_2y_PrhiQNog,this is another place we go for breakfast they have the best pancakes with the hot maple syrup  yum biscuits with gravy and apple butter are to die for  love the atmosphere in the restaurant with the decorations wait staff comes around with coffee and can't do enough for you here wished they had omelettes  then they would have gotten 5 stars have not been for dinner ,positive
YY96Jfi26j5iF4aDICyRXg,after reading the reviews on here i took a leap of faith and visited the place once back in nov and again yesterday the reason for such a gap in visits since i live in missouri the owner will take the time out to answer any and all questions and the service is very personal they have made a few changes so the lunch buffet has been removed from the menu oh well but the portions off the menu are big enough for my greedy husband's appetite so this place gets five stars from me btw byob is not allowed but this is fine by me number change 2154542875,positive
VwADinB-DonoikE35VtkCA,my favorite food ever friendly staff and have never been disappointed my only wish is that they were a little more speedy getting to the tables and taking orders,positive
gY6xgzPZXPv-8R70cADfqA,i am so glad they are back the oxtail stew is my favorite and i highly recommend it,positive
QUyLaPjsoZiRJ-RUBVa5rA,great vegan and vegetarian options with some excellent options sal was really easy going and supportive to help us pick some of theor house favorite options,positive
CJxru3TaBLTXMt0kx98HXA,great food great flavor came out steaming hot i got the pounded yam with spinach and a meat pie all were delicious excited to go back and try some other things,positive
vZlPeIEzNK2YkZhGcLxHOw,this place is a great addition to the neighborhood  eritrean is very similar to ethiopian  great quality and huge portions    exotic flavors abound  queen sheba serves up a non traditional but very tasty african culinary experience  i highly recommend,positive
3sQehkDWhJVtYQ90MUMRNw,super clean very authenticly and beautifully decorated restaurant and an easy to find locationawesome the food is so delicious it's well seasoned and nicely presented,positive
TUCm1lCkh-usRYRl3U0S8w,another favorite of mine all the food is cooked perfectly and portions are generous one tray can easily feed at least 2 adults i usually order either lamb but my kids try everything so it's a family favorite definitely won't be disappointed and yes the customer service is great they're patient with answering questions and will even make accommodations if possible with no complaints best to go in to order though cause these food apps do them a disservice by not offering everything and the delivery is horrible,positive
S-VD26LE_LeJNx5nASk_pw,when i need an order of potato greens and rice or  fried fish with jollof rice this is my spot definitely worth the ride for my fix so far i can't find really good liberian food near me,positive
T6c7iPO8Y4t_GQiyevZbiQ,delicious and flavorful ethiopian food they have lots of options for both meat eaters and vegetarians generous portions and reasonable prices as well the owners are very kind too i highly recommend this restaurant if you've never tried ethiopian food before give it a try especially if you like flavorful cuisine,positive
nL7p1fol3N_2y_PrhiQNog,my kids and i enjoy eating here  the manager is a very nice guy  the wait staffinterestingly we've gotten our food either at different times or the wrong food the last several times we've been in  my daughter ordered the sirloin with 'mushrooms' on top that's an extra chargeonly they didn't come out  we had to ask three times and by the time they came we were all finished eating and there were literally about 3 tbsp of mushrooms  we never go when it's really busy so kind of comical when our order is still wrong often  having said that they're always quick to get us the right food and we love being able to shop there too  i would love to give cracker barrel five stars but just can't because they consistently mess our order up  i always tip the wait staff anyway because i see how much running around they have to do  they probably need a better system though for making sure the right foods come out when they're supposed to  another example i always order both sides to be the turnip greens and ask or vinegar on the side the vinegar never comes out with the food  five yearsevery cracker barrel i've gone to love that vinegar,positive
QUyLaPjsoZiRJ-RUBVa5rA,ordered takeout for yelp's big night in during this crazy time of quarantine what a great addition to st pete and the grand central district we have on our hands with the floribbean my wife and i both ordered separate bowls with different combinations as well as the guac and chips for first timers at floribbean i think it speaks highly of any buildyourown establishment if you can't go wrong with what bases you pick and how they complement each other in my bowl the braised beef although a little salty for my taste combined with the corn salsa which had a perfect amount of spice the brown rice and finally the curtido slaw to cool off the plate worked in perfect harmony it didn't leave me wishing i had any different combination to top things off the guac was uniquely it's own style and the chips were well made we will definitely be returning to the floribbean and look forward to when we can have a more traditional experience,positive
vZlPeIEzNK2YkZhGcLxHOw,i resisted going to this restaurant because i had been to the ethiopian restaurants in town and was not ever in a hurry to go back  their food was good but it didn't hit that crave point  it just wasn't my first choice  my friend however really wanted to try queen sheba  so i finally went  i am so glad i did  for some reason the flavor profiles were a home run we order the meat combo veggie combo and gaat the spicy lamb spicy beef chicken cabbage and lentils we all so good my friend love the gaat  we actually ordered 2 meals to go because i wanted more  i can't wait to return,positive
YDisPepPeWeELiVGycxOlw,what a great bar delicious food and service was fast and friendly the bar has a backyard patio where smoking is permitted it is one of the best in west philly,positive
1Vo4BLw75ntATAJHYsxO3g,i'm rating this 4 based on the gorgeous viewand the best wings i've had ever maybe they were having a good day but the fried garlic parmesan wings with ranch were the most delicious juicy crispy flavorful wings i've everrrrrrr had damn 14 is suuuuuper pricey but the wings were so good i'd go back and pay for more calamari was bleh,positive
utnjyv9GtUTnMumSduifpg,great place for ethiopian food and very friendly staff my favorite is the beef tibs the vegetable platter is yummy as well,positive
kWFgllI8AfMCIvRJ2KwuRA,i've had port of peri peri on my bookmarks of saved spots to try for a while and i finally stopped in today with co worker the interior is nicely decorated and has a rustic vibe with modern touches only one employee was working today and it was very quiet i ordered the chicken and rice bowl medium and a side of the cassava fries after reading multiple rave reviews here we sat inside while our food was prepared the chicken rice bowl was a very generous serving as were the fries the medium was pretty spicy but also had a ton of flavor the fries were good too very crispy and crunchy the garlic sauce was excellent and made a good cooling sauce when the heat was getting to me i brought half of my rice bowl home to eat for lunch tomorrow since it was so much food i wanted to eat it all right then but i'm trying to exercise some self control  yum,positive
8oqvWI5Lq-9dO2zejyuvjw,st louis is limited on african restaurants of which most are ethiopian  tam tam is one of the few that serves a delicious sample of east and west african food  the restaurant itself is nothing fancy it's a simple place located in a strip mall and the service can be somewhat slow but it's well worth the wait  for me it adds to the authenticity of the place and reminds me of a typical restaurant in africaon my most recent visit i was pleasantly surprised to be served a complementary basket of fried chapati strips with an african style salsa chapati is basically similar to a flower tortilla it's actually indian in origin but made its way to east africa with the indian people who have influenced the cuisine over the years i have fond memories of waking up to the smell of fresh chapati being grilled on the streets of kampala uganda  tam tam's deep fried version is very tasty and served with a bowl of salsa like sauce which included onions tomatoes green peppers and mild spices  the sauce is excellent and perfect with the warm chapati chips  i've tried three main courses here and all have been very good my favorite would probably be the nyama choma goat meat nyama choma is grilled seasoned meat like bbq grill and very common in kenya tanzania and uganda tam tam's goat meat might just be the best i've ever eaten and i've eaten a lot of nyama choma over the years if you want to try goat meat keep in mind that it tends to be very chewy filled with fat and bones you often get little bone chips mixed in so be careful and also don't be disappointed when you're not served a nice big fillet of meat  i was amazed by the tenderness of this juicy and well seasoned meat  for 1299 you also get a side of fries plantains or couscous i chose the plantains which were the sweet ripe version cooked perfectlya majority of the main dishes on the menu are west african dishes which in general tent to be more spicy heatwise than east african food however from what i've tried nothing was overly spicyhot here at tam tam the poisson a la braisse or grilled tilapia fish comes whole and smothered in a chopped onion salsa type sauce 1199 the yassa guinaar for 850 is chicken marinated in garlic mustard and lemon which is cooked in an onion sauce  for the true west african experience you might want to try the fufu this dough like starch doesn't have much taste but is good for dishes with a lot of saucethe service has always been friendly but not overly aggressive  on my most recent visit the waiter was from kenya so i was happy to hear about the newere east african dishes that had been added to the menu  i only wish this place was closer to downtown then i'd be a regular  i'm giving this place 5 stars for tasty goat meat and an authentic taste of africa right here in st louis,positive
QUyLaPjsoZiRJ-RUBVa5rA,where do i start   food was great the flavors where unbelievably good  owner was very gracious and accomadating  definitely will visit again when i'm in town,positive
MoepRQ_fkTbX3HyxfQJMUg,i was traveling for work for 2 nights and had to find food for 2 dinnersi came here twice the first night was a weds when i didn't really understand that they only had jamaican food there wasn't a menu for the jamaican food i was just told what was available and i ordered from that i ordered the jerk chicken which came with beans and rice cabbage and a sauce initially i was a little bummed because i had been craving eritreanethiopian food but when i finally ate it in my hotel room it was the seriously the best jerk chicken i had ever had and i ate it when i wasn't even very hungry so it must have been good of course i had to go back the following night so that i could try the eritreanethiopian food i ordered the alicha beggee with the side of collard greens it was delicious i can't speak to the ambiance since i went both times to get takeout too early for dinner the staff were nice and the food was delicious i'll definitely be back,positive
DdryIpjFlALA-7Dtmp9d2A,what a great place to experience different and delicious food  kibroms was a delightful treat  will be beach soon to see them as well as the other entrepreneurs in the boise international market,positive
T6c7iPO8Y4t_GQiyevZbiQ,best ethiopian food i've had i absolutely love ethiopian food and finally convinced my brother mother and father to come with me and satisfy my pregnancy cravings  we enjoyed chicken sambusas buticha garlic chick pea dip chicken tibbs beef tibbs and lamb tibbs with a variety of veggies i wish we would have taken a picture but we completely cleaned the plates literally my brother enjoyed the st peter's beer which he thoroughly enjoyed while my parents and i had the lemonade and ice tea the lemonade was carbonated with a ginger flavor and it was delicious after dinner we ordered the coffee which is freshly grinded and brewed it was amazing my brother took his with 2 teaspoons of sugar and i took mine with 3 no creamer i wish i could have it every morning  our server i believe she owns the restaurant was very nice welcoming and informative even though she sensed i knew my ethiopian food cannot wait to return with more family members and enjoy more food,positive
VwADinB-DonoikE35VtkCA,like the concept of the samplers makes a crowd favorite absolute a fan of the fermented bread kinda sour but add a refreshment to all the spices,positive
S-VD26LE_LeJNx5nASk_pw,the best african food i've ever tasted i refuse to go else where other places let me down,positive
PXQGiGwBqfFuO81BFB3LHg,as a foodie every once in a while you stumble upon a culinary gem sometimes off the beaten path i am no stranger to ethnic food however there are not many options within and around indy for the more exotic types of cuisine such as african food the first type of african food i discovered was nigerian back around the y2k hype at the transition into the 21st century i vividly recall eating very tasty greens sautéed in onions and tomato sauce with meat and chicken and goat and very tasty and colorful rice and other starchy based dishes such as fufu and amala as a lover of spice and exotic food i indulged in all the spices herbs and unique favors i'd been missing for almost a decade when i by chance learned of beautful shades aka naira land the owner and chef david is very friendly and eager to answer any question you may have regarding the unfamiliar to many typical nigerian dishes i ate the efo mildly spicy greens sautéed in tomato sauce with beef and fish and herbs lightly fried chicken with no batter added to it and beans served with a delicious sauce on top and dodo lightly fried plantains the price of such very tasty food is very affordable besides some main dishes and specials you can create your own meal by ordering side items plus meat the meal that i usually create cost around 937 including tax but excluding a drink oh and regarding the interior the restaurant is simple yet clean and not too long or wide there's enough room for about a party of under 50 in the main restaurant area there are two wall mounted flat screens and a sink to wash your hands before you indulge in some of the finger food based meals like fufu pounded yam or amala  a similar yet wheat based starchy pounded substance upon which sauces with meat are served so if you like ethnic food and you've never had african food before this is the perfect place for you to discover some of the best west african food you can find in indy be bold and adventurous and add a new restaurant to your list of ethnic food gems,positive
k1yDRDZ4QCvNW9Wm9-IOaA,this place was great  it was very cute and we had no trouble getting a table around 8830  it was one of the few places with vegetarian items on the menu  i had the eggplant curry with couscous and my gf had the vegetarian jambalaya  hers came with the most delicious spinach  i would definitely have eaten there again if time had allowed,positive
kWFgllI8AfMCIvRJ2KwuRA,been waiting for this great food great ownership and best of all it's 100 halal certified win win,positive
Uj3a0BpXSEXmU3n6W8jcKg,as many others have said the decor  or lack thereof  is kind of laughable  it looks like a large room in a convention center which has been set up for a wedding reception  couldn't they have at least hung a picture or two on the walls after all this time  and the zumba class next door provided the music competing with the tv set hanging in the corner  why do so many places insist on having a tv on all the time  yes i am removing one star for the decor when i know i go to jiallo's for the food but giving some attention to the physical environment should mean something  i wasn't stopping by for takeoutbut i would  the food is absolutely delicious  we both had the jerk chicken because we felt we had to and oh wow is it good  the jamaican style jerk carryout place at 34th and keystone makes delicious jerk chicken but the jerk chicken at jiallo's seems slightly spicier which is great  the accompanying rice and beans was also delicious as was the plantain  and the servings are huge  mine definitely made two hearty meals  you can order the lunch portion even for dinner but they're only a couple of dollars less than the dinner portions  everything on the menu looked delicious and although only two other tables were occupied while we were there on monday night the other dishes appeared to be yummy  lastly the owner stopped by several times to check on us and to refill our drinks  very friendly service  i will be backthe hot stuff they serve along with the chicken    um it's really hot,positive
SoqgkE4zQ0KV0jRgMNA6TQ,best jamaican food in the bay area great portion sizes always fresh and always friendly,positive
Aelkw-nyg9I8aQM9mK_yhw,i'm not african so i couldn't tell you whether the food is authentic or not but all i can say is that it was extremely tasty  i had the palaver sauce with rice and it was delicious  the only reason for four stars as opposed to five is that they were out of a lot of things on the menu  but it satisfied my fix for african food which i absolutely love,positive
vZlPeIEzNK2YkZhGcLxHOw,this cute micro business has good food it's eritrean which is from the northeastern part of africa adjacent to ethiopia it's in the menu it seems popular for takeout but the restaurant was otherwise not busy at all for dining in i ordered a veggie and meat combo platter which is not officially on the menu but i didn't want to chose only one or the other it was so delicious to have all the savory flavors to taste i started eating with the bread to pick up the food but used a fork in the end the most notable dishes were the spinach potatoes spicy chicken and lentils so those i totally finished i also had the 'sweet bread' which is just actually like a plain focaccia the service is very relaxed like in many cultures around the world it was great to eat at the tables outside and talk for a couple of hours,positive
MoepRQ_fkTbX3HyxfQJMUg,there were three of us for dinner and the owner made a large tray for us of vegetables  chicken and beef  the vegetables were collards cabbage with carrots and potato spinach and red lentils  what a spread  the food was delicious and the presentation gorgeous  the serving sizes were very generous  this is worth going to even for carry out  the owner was very nice and helpful  i would definitely come back and the prices were very reasonable,positive
Aqsc1lA8-PN8YNMgroyeSg,i had the fufu and egusi and it was my very first time trying the dish so it's my first impression i don't have any other experience to compare it to but it was delicious and spicy the chicken was a bit tough but that was minor the flavors were great a generous amount of food as well i could barely finish it all as the fufu is very filling would def try other dishes from here soon,positive
_cbNtNu9SU_l-rb6HP27qg,just days after being saddened about the closing of the cool springs calypso cafe i discovered humdingers i only found out about this place because i was searching yelp for ethiopian cuisine and humdingers appeared in the results although not true ethiopian cuisine this restaurant is inspired by chilis and spices from the southern african countries including southern ethiopia they have a variety of piri piri sauces herehumdingers offers a variety of fish and chicken plates sandwiches and tacos most of the menu items are healthy and they offer a variety of healthy sides i had the blackened rainbow trout and my husband the blackened mahi mahi you can choose a topping and we both had the pineapple salsa which was great the plates were served with seasoned yellow rice and another side of your choice i opted for a side salad today but they have some other great items such as grilled zucchini asparagus and sweet potato slicesthe place is clean and nicely furnished you walk up and order and the staff brings your food out to your table as everything is made to order everything was fresh hot and delicious the blackened seasoning was good and the remoulade sauce served with the plates was really spicy which i liked they had four different piri piri sauces which i didn't even try because the food was so good without any further sauces the service was attentive and friendly and staff came around to the table asking if everything was satisfactorywe will definitely return,positive
ziyXteCmNmRprs10buP2iQ,i visited last evening after a recommendation by friend and reading the very good reviews  i've always loved senegalese foodpeopleculture  i love this restaurantsmall authentic wolof vibes playing popular contemporary west afri sounds  the servers were pleasant and listened well  being vegetarian they were more than accommodating  i was stuffed at end of meal  the friend with me was stuffed too this will definitely be a restaurant that i will visit again for the food people and vibes,positive
YDisPepPeWeELiVGycxOlw,one of my favorite neighborhood bars with great food and hospitality this is a great place on any day of the week friday through sunday attracts a larger and very mixed crowd there is a dj who spins caribbean american and afro beats music it turns into a big dance party which is fun to join in or if you're shy just sit back and watch drinks are affordable as well as the food great place to hang out with friends,positive
UQ9zn4jcjkTDOw0OwIOaxQ,in boise visiting family this was recommed by my niece the people were so nice and the food was amazing the combination dinners are smart because it lets you try different items no utensils you eat with the bread i had lamb and red lentils one of my daughters ordered 5 items to try different things we shared some  excellent i would highly recommend this place,positive
m0t-vuBHQOfC1ldTF6Dy7w,dropped in for the lunch buffet on a whim it was a great choicethe food was delicious the proprietors very friendly and welcoming and the service excellent the fried rice and the chicken curry were highlights of the meali'd never had ugandan food before it seems to be a real melting pot of african european middle eastern and indian influencesdo yourself a favor and check this place out,positive
DdryIpjFlALA-7Dtmp9d2A,i'm so happy boise finally has an ethiopian restaurant  the injera is delicious and all of the dishes i've tried so far have been very tastythe boise international market it's located in has a slightly under construction feel to it as they are still moving new shops and restaurants in  i imagine that will improve with time and isn't really an impediment to enjoying the awesome food anyway,positive
cIzp7QZOaUyRLl3ZcwsrHw,came in for to go order and the service was amazing the mini store has incense coffee and seasoning we loved the customer service and we haven't even tried the food make sure you come in support black business make a reservation and wear a mask,positive
kWFgllI8AfMCIvRJ2KwuRA,for chicken lovers who's looking for an alternative to the typical fried chicken mealcombo this would be an excellent choice especially if you like spicy flavor kinda reminds me of eating at kenny rogers roasters but with a twist having the roasted chicken and even the sides with that africanportugese flair if youre not into spicy food you can get it in mild and also dousing it with their creamy garlic sauce helps a bunch the wife swears the veggie pita was delicious price is not too shabby and the place looks nice spacious and bright with a modern industrial feel to it parking shouldnt be an issue either definitely seeing ourselves coming back,positive
-kYESienondGaj9TFadkUg,i've only ordered take out from here and i'm hoping that most of their customers do the same  i say that because i never see this place busy but i want them to do well to date i've ordered the lamb tibs beef tibs they were out of lamb that day chicken tibs and chicken doro wat  i find the flavors to be superior to that of neighboring ethiopian restaurants  actually i dare say it's the best one of the many i've tried  my only complaint is that the while the doro wat is tasty the one drumstick and an egg was a bit unsatisfactory  i think adding a thigh would bring the meal to perfect for me  the doro wat sauce does have a nice buttery flavor that i could just eat with injera thus saving the dish  the other tibs are very good flavor and portion like everyone says the ambiance is boring but if you have some wine and good company that will liven things up for you i'm sure  if you order for pickup they tend to say 2025 minutes but i give them at least 40 minutes so i don't end up sitting around waiting  i do of course have the advantage of living within walking distance though,positive
S-VD26LE_LeJNx5nASk_pw,hands downtheee best i've eaten here several times and i have never once been disappointed the portion sizes are amazingdefinitely large enough to share with another person food is always seasoned and cooked perfectly i typically order the fried or grilled fish tilipia or red snapper jolloff rice fried spinach or fried cabbage and cassava leaf  rice i am quite picky so if i'm a fanit's the real deal the pictures simply don't do it justice,positive
BjBDHqHhMXSxgyVipccznQ,a reservation is highly recommended for their sunday brunch  we were able to sit at the bar as a walkin  you can have a perfect ocean view if you sit at the end of the bar  sunday brunch includes hors d'oeuvres omelet station waffles seafood crab oysters and shrimp mini desserts etc  smoked salmon and customized omelets are good  mahi was very dry and not tasty unfortunately  crab is okay quality  you can ask for butter since they don't have it out  definitely try their banana foster with vanilla ice cream over waffle  the waffles are so crispy  the brunch also includes soft drinks mimosa and vodka items  the bill was 68 with tax for two  if you love to drink you can get your money worth  since i am not a big drinker i tried to get my money worth by eating crab lol  bartender jonathan was great  he was very attentive and went an extra mile for us  it was a pleasant and relaxing experience with fantastic view and service,positive
1Vo4BLw75ntATAJHYsxO3g,signature margaritas are good alligator bites were tasty the ambiance of relaxing beachside while listening to their band was even better i'll def visit again,positive
mk4ecpQJPPLGnTykDWM38w,i loved the staff very friendly and it has a family feel they just opened but are off to a great start the food is so good you must be open to different ethnic spices i am bringing back my wife,positive
cIzp7QZOaUyRLl3ZcwsrHw,this was my first time tasting ethiopian cuisine so truthfully i have nothing to compare it to however the flavors were delicious and the proteins were cooked perfectly we had a whole fish that was delicious as well as some short ribs that were like tiny meat candy fantastic,positive
YEQk2NZM5TKqyqgo1rjFsg,nice place to hang out for a team experience  building exercise  decent food  cold beer  could definitely use a better selection of alcohol and tequila but the bowling lanes were fun and the food was good  atmosphere is setup to make it what you want and the crowd on a monday night was perfect  nice job  need some suavecito,positive
k1yDRDZ4QCvNW9Wm9-IOaA,you will never have spinach or plantains like they prepare there the black eye peas omg the clue is walking in the smell makes your mouth water as soon as you step in,positive
oYvjtszgXo5x45d6fa6y2g,i have been to this place dozens of times in the past two years it is definitely my favorite comfort food place to get takeout from in west philly the food is phenomenal at a great price i've had the pleasure of trying a few of their dishes but the two i keep going back to are the grilled lamb and the grilled chicken dibi viande and dibi poulet if you're looking for delicious succulent wellseasoned meat this is your place the senagalese onion sauce they cover the meat with is incredible and adds that extra bit of flavor i generally come in for dinner so i have yet to try their lunch specials but as you get at least 2 meals worth of meat and sides for 10 i don't even feel the need to try one general criticism i would give is that they sometimes overcook their meat so i usually just ask them to cook it less than they would otherwisetheir fresh ginger and hibiscus juices are also great but be warned they are extremely strong and sweet i prefer to dilute mineall in all a great place to eat the place is kind of shabby but as i go there for the food and not for the decorations it doesn't bother me,positive
dA6ArvvZYNS7NUQ1_v7ngA,amazing amazing i don't know how else to say it don't be discouraged by the market which on my recent visit wasn't stocked with very much head straight to the back eye over their simple menu and prepare to feast on food i have yet to find anywhere else in tucson i could try to describe it but i suggest going to eat it yourself i split the chicken kabobs and soup with a friend today and had a sambusa sort of like a samosa for dessert  everything was delicious great flavor fresh tasting and i didn't feel like i was eating too much even though it was a lot of food and all of it for only 1300 it was a steal i don't usually review a place after i've only been there once but listening to rave reviews from the friend i was with i'm certain this place is firing on all cylinders all the time seriously so goodknow before you go it's nothing special white and blue walls cafeteria style tables and chairsbut trust me your plate will arrive and it won't matter where you're sitting or what you're sitting on get over that and eat,positive
MoepRQ_fkTbX3HyxfQJMUg,don't be mistaken by the empty restaurant the food was incredible and extremely reasonably priced the guy who works in the kitchen has kind eyes and delivers a small heaven on a plate the serving portions are massive and will definitely having me coming backbe prepared for slower service and more laid back dining experience it's very casual during the day but looks like it sometimes turns into a more hopping bar at night highly recommend ordering the sambusas as you wait,positive
VwADinB-DonoikE35VtkCA,for lovers of the original zemam's there is one major reason to try zemam's too at least once you can choose the gored gored as part of the sampler platter i'd always been curious about it but i just couldn't abandon my beloved sampler platter it's so good anything on the menu is fair game for the sampler including some fish and lamb options which you won't find at the og zemam'sfor the uninitiated zemam's too is a great restaurant for people who 1 love bold flavors and spice 2 are open to an interesting nonwestern dining experience and 3 aren't too fussy about ambiance or getting their hands dirty like its predecessor zemam's too is now in the top tier of my favorite restaurants in tucson i prefer these restaurants over cafe destathe zemam's dishes really hit you with flavor like a truck which i absolutely love,positive
